graph_kind,operation_group,operation,size,fastest_structure,fastest_time_ms,runner_up,runner_up_time_ms,pct_faster_than_runner_up,notes
dense,adjacency_queries,adjacency_check,25,Adjacency List,0.021125,Adjacency Matrix,0.024834,14.9,"For dense adjacency_check at V=25, Adjacency List is fastest at 0.0211 ms (14.9% faster than Adjacency Matrix)."
dense,adjacency_queries,adjacency_check,50,Adjacency List,0.024458,Adjacency Matrix,0.029042,15.8,"For dense adjacency_check at V=50, Adjacency List is fastest at 0.0245 ms (15.8% faster than Adjacency Matrix)."
dense,adjacency_queries,adjacency_check,100,Adjacency List,0.034709,Adjacency Matrix,0.038917,10.8,"For dense adjacency_check at V=100, Adjacency List is fastest at 0.0347 ms (10.8% faster than Adjacency Matrix)."
dense,shortest_path,bellman_ford,25,Adjacency Matrix,0.313541,Adjacency List,0.317541,1.3,"For dense bellman_ford at V=25, Adjacency Matrix is fastest at 0.3135 ms (1.3% faster than Adjacency List)."
dense,shortest_path,bellman_ford,50,Adjacency Matrix,1.449416,Adjacency List,1.495,3.0,"For dense bellman_ford at V=50, Adjacency Matrix is fastest at 1.4494 ms (3.0% faster than Adjacency List)."
dense,shortest_path,bellman_ford,100,Adjacency Matrix,6.433625,Adjacency List,26.574583,75.8,"For dense bellman_ford at V=100, Adjacency Matrix is fastest at 6.4336 ms (75.8% faster than Adjacency List)."
dense,traversal,bfs,25,Adjacency List,0.092625,Adjacency Matrix,0.0945,2.0,"For dense bfs at V=25, Adjacency List is fastest at 0.0926 ms (2.0% faster than Adjacency Matrix)."
dense,traversal,bfs,50,Adjacency List,0.291708,Adjacency Matrix,0.3285,11.2,"For dense bfs at V=50, Adjacency List is fastest at 0.2917 ms (11.2% faster than Adjacency Matrix)."
dense,traversal,bfs,100,Adjacency Matrix,1.295625,Adjacency List,1.308459,1.0,"For dense bfs at V=100, Adjacency Matrix is fastest at 1.2956 ms (1.0% faster than Adjacency List)."
dense,construction,build,25,Adjacency List,0.0875,Adjacency Matrix,0.093709,6.6,"For dense build at V=25, Adjacency List is fastest at 0.0875 ms (6.6% faster than Adjacency Matrix)."
dense,construction,build,50,Adjacency List,0.356042,Adjacency Matrix,0.365292,2.5,"For dense build at V=50, Adjacency List is fastest at 0.3560 ms (2.5% faster than Adjacency Matrix)."
dense,construction,build,100,Adjacency List,1.356875,Adjacency Matrix,1.407083,3.6,"For dense build at V=100, Adjacency List is fastest at 1.3569 ms (3.6% faster than Adjacency Matrix)."
dense,traversal,dfs,25,Adjacency List,0.083292,Adjacency Matrix,0.084917,1.9,"For dense dfs at V=25, Adjacency List is fastest at 0.0833 ms (1.9% faster than Adjacency Matrix)."
dense,traversal,dfs,50,Adjacency List,0.2555,Adjacency Matrix,0.300208,14.9,"For dense dfs at V=50, Adjacency List is fastest at 0.2555 ms (14.9% faster than Adjacency Matrix)."
dense,traversal,dfs,100,Adjacency List,1.290625,Adjacency Matrix,1.479542,12.8,"For dense dfs at V=100, Adjacency List is fastest at 1.2906 ms (12.8% faster than Adjacency Matrix)."
dense,shortest_path,dijkstra,25,Adjacency Matrix,0.621792,Adjacency List,0.651333,4.5,"For dense dijkstra at V=25, Adjacency Matrix is fastest at 0.6218 ms (4.5% faster than Adjacency List)."
dense,shortest_path,dijkstra,50,Adjacency Matrix,0.565708,Adjacency List,0.898167,37.0,"For dense dijkstra at V=50, Adjacency Matrix is fastest at 0.5657 ms (37.0% faster than Adjacency List)."
dense,shortest_path,dijkstra,100,Adjacency Matrix,16.636916,Adjacency List,17.38775,4.3,"For dense dijkstra at V=100, Adjacency Matrix is fastest at 16.6369 ms (4.3% faster than Adjacency List)."
dense,neighbor_scan,neighbor_scan,25,Adjacency List,0.010083,Adjacency Matrix,0.0275,63.3,"For dense neighbor_scan at V=25, Adjacency List is fastest at 0.0101 ms (63.3% faster than Adjacency Matrix)."
dense,neighbor_scan,neighbor_scan,50,Adjacency List,0.025792,Adjacency Matrix,0.102125,74.7,"For dense neighbor_scan at V=50, Adjacency List is fastest at 0.0258 ms (74.7% faster than Adjacency Matrix)."
dense,neighbor_scan,neighbor_scan,100,Adjacency List,0.079916,Adjacency Matrix,0.348042,77.0,"For dense neighbor_scan at V=100, Adjacency List is fastest at 0.0799 ms (77.0% faster than Adjacency Matrix)."
dense,mutation,remove_edges,25,Adjacency List,0.099416,Adjacency Matrix,0.10325,3.7,"For dense remove_edges at V=25, Adjacency List is fastest at 0.0994 ms (3.7% faster than Adjacency Matrix)."
dense,mutation,remove_edges,50,Adjacency List,0.358958,Adjacency Matrix,0.491041,26.9,"For dense remove_edges at V=50, Adjacency List is fastest at 0.3590 ms (26.9% faster than Adjacency Matrix)."
dense,mutation,remove_edges,100,Adjacency Matrix,1.4515,Adjacency List,1.458,0.4,"For dense remove_edges at V=100, Adjacency Matrix is fastest at 1.4515 ms (0.4% faster than Adjacency List)."
sparse,adjacency_queries,adjacency_check,25,Adjacency List,0.009459,Adjacency Matrix,0.011167,15.3,"For sparse adjacency_check at V=25, Adjacency List is fastest at 0.0095 ms (15.3% faster than Adjacency Matrix)."
sparse,adjacency_queries,adjacency_check,50,Adjacency List,0.018958,Adjacency Matrix,0.025125,24.5,"For sparse adjacency_check at V=50, Adjacency List is fastest at 0.0190 ms (24.5% faster than Adjacency Matrix)."
sparse,adjacency_queries,adjacency_check,100,Adjacency List,0.032208,Adjacency Matrix,0.038333,16.0,"For sparse adjacency_check at V=100, Adjacency List is fastest at 0.0322 ms (16.0% faster than Adjacency Matrix)."
sparse,shortest_path,bellman_ford,25,Adjacency Matrix,0.122708,Adjacency List,0.164166,25.3,"For sparse bellman_ford at V=25, Adjacency Matrix is fastest at 0.1227 ms (25.3% faster than Adjacency List)."
sparse,shortest_path,bellman_ford,50,Adjacency List,0.169875,Adjacency Matrix,0.201167,15.6,"For sparse bellman_ford at V=50, Adjacency List is fastest at 0.1699 ms (15.6% faster than Adjacency Matrix)."
sparse,shortest_path,bellman_ford,100,Adjacency List,0.420208,Adjacency Matrix,0.534417,21.4,"For sparse bellman_ford at V=100, Adjacency List is fastest at 0.4202 ms (21.4% faster than Adjacency Matrix)."
sparse,traversal,bfs,25,Adjacency List,0.061209,Adjacency Matrix,0.074209,17.5,"For sparse bfs at V=25, Adjacency List is fastest at 0.0612 ms (17.5% faster than Adjacency Matrix)."
sparse,traversal,bfs,50,Adjacency List,0.153459,Adjacency Matrix,0.196375,21.9,"For sparse bfs at V=50, Adjacency List is fastest at 0.1535 ms (21.9% faster than Adjacency Matrix)."
sparse,traversal,bfs,100,Adjacency List,0.461459,Adjacency Matrix,0.588834,21.6,"For sparse bfs at V=100, Adjacency List is fastest at 0.4615 ms (21.6% faster than Adjacency Matrix)."
sparse,construction,build,25,Adjacency List,0.018709,Adjacency Matrix,0.033125,43.5,"For sparse build at V=25, Adjacency List is fastest at 0.0187 ms (43.5% faster than Adjacency Matrix)."
sparse,construction,build,50,Adjacency List,0.045,Adjacency Matrix,0.076292,41.0,"For sparse build at V=50, Adjacency List is fastest at 0.0450 ms (41.0% faster than Adjacency Matrix)."
sparse,construction,build,100,Adjacency List,0.084833,Adjacency Matrix,0.234458,63.8,"For sparse build at V=100, Adjacency List is fastest at 0.0848 ms (63.8% faster than Adjacency Matrix)."
sparse,traversal,dfs,25,Adjacency List,0.048334,Adjacency Matrix,0.061625,21.6,"For sparse dfs at V=25, Adjacency List is fastest at 0.0483 ms (21.6% faster than Adjacency Matrix)."
sparse,traversal,dfs,50,Adjacency List,0.124334,Adjacency Matrix,0.164333,24.3,"For sparse dfs at V=50, Adjacency List is fastest at 0.1243 ms (24.3% faster than Adjacency Matrix)."
sparse,traversal,dfs,100,Adjacency List,0.388458,Adjacency Matrix,0.674333,42.4,"For sparse dfs at V=100, Adjacency List is fastest at 0.3885 ms (42.4% faster than Adjacency Matrix)."
sparse,shortest_path,dijkstra,25,Adjacency List,0.068833,Adjacency Matrix,0.084542,18.6,"For sparse dijkstra at V=25, Adjacency List is fastest at 0.0688 ms (18.6% faster than Adjacency Matrix)."
sparse,shortest_path,dijkstra,50,Adjacency List,0.261625,Adjacency Matrix,0.49325,47.0,"For sparse dijkstra at V=50, Adjacency List is fastest at 0.2616 ms (47.0% faster than Adjacency Matrix)."
sparse,shortest_path,dijkstra,100,Adjacency List,0.717584,Adjacency Matrix,1.138958,37.0,"For sparse dijkstra at V=100, Adjacency List is fastest at 0.7176 ms (37.0% faster than Adjacency Matrix)."
sparse,neighbor_scan,neighbor_scan,25,Adjacency List,0.006375,Adjacency Matrix,0.017625,63.8,"For sparse neighbor_scan at V=25, Adjacency List is fastest at 0.0064 ms (63.8% faster than Adjacency Matrix)."
sparse,neighbor_scan,neighbor_scan,50,Adjacency List,0.011709,Adjacency Matrix,0.051042,77.1,"For sparse neighbor_scan at V=50, Adjacency List is fastest at 0.0117 ms (77.1% faster than Adjacency Matrix)."
sparse,neighbor_scan,neighbor_scan,100,Adjacency List,0.024167,Adjacency Matrix,0.179917,86.6,"For sparse neighbor_scan at V=100, Adjacency List is fastest at 0.0242 ms (86.6% faster than Adjacency Matrix)."
sparse,mutation,remove_edges,25,Adjacency List,0.030708,Adjacency Matrix,0.036209,15.2,"For sparse remove_edges at V=25, Adjacency List is fastest at 0.0307 ms (15.2% faster than Adjacency Matrix)."
sparse,mutation,remove_edges,50,Adjacency List,0.047834,Adjacency Matrix,0.082792,42.2,"For sparse remove_edges at V=50, Adjacency List is fastest at 0.0478 ms (42.2% faster than Adjacency Matrix)."
sparse,mutation,remove_edges,100,Adjacency List,0.078208,Adjacency Matrix,0.22025,64.5,"For sparse remove_edges at V=100, Adjacency List is fastest at 0.0782 ms (64.5% faster than Adjacency Matrix)."
